,VideoID,Link,Transcribed,Duration
111,aL9nr5Qn0_o,https://www.youtube.com/watch?v=aL9nr5Qn0_o,0,1:37
112,alN3hTIGFyo,https://www.youtube.com/watch?v=alN3hTIGFyo,0,3:12
113,An-3oRTlCvY,https://www.youtube.com/watch?v=An-3oRTlCvY,0,5:7
114,ANgjp7qy9HA,https://www.youtube.com/watch?v=ANgjp7qy9HA,0,2:59
115,AR53mQ_hGoI,https://www.youtube.com/watch?v=AR53mQ_hGoI,0,48
116,aRErC6Wudwo,https://www.youtube.com/watch?v=aRErC6Wudwo,0,4:32
117,asRw7zYKFAQ,https://www.youtube.com/watch?v=asRw7zYKFAQ,0,30
118,AUXvA5--qTY,https://www.youtube.com/watch?v=AUXvA5--qTY,0,6:48
119,awx7izTX5jQ,https://www.youtube.com/watch?v=awx7izTX5jQ,0,4:58
120,Ay-IdvZCkew,https://www.youtube.com/watch?v=Ay-IdvZCkew,0,52
121,b0RgkTe3qGM,https://www.youtube.com/watch?v=b0RgkTe3qGM,0,2:9
122,bEbux_Nc5s4,https://www.youtube.com/watch?v=bEbux_Nc5s4,0,7:10
123,Bi7adBaoBSY,https://www.youtube.com/watch?v=Bi7adBaoBSY,0,5:21
124,BJuwU1aEWgw,https://www.youtube.com/watch?v=BJuwU1aEWgw,0,7:24
125,BKSRmJn32Rs,https://www.youtube.com/watch?v=BKSRmJn32Rs,0,1:5
126,BN8rrcRR6Xg,https://www.youtube.com/watch?v=BN8rrcRR6Xg,0,2:35:27
127,boCS71jCP3M,https://www.youtube.com/watch?v=boCS71jCP3M,0,10:21
128,bOCx853wJ3E,https://www.youtube.com/watch?v=bOCx853wJ3E,0,7:20
129,BR7xSqOBxPo,https://www.youtube.com/watch?v=BR7xSqOBxPo,0,12:24
130,BRvMkZoH9rc,https://www.youtube.com/watch?v=BRvMkZoH9rc,0,1:23
131,BUCYjed-3Jo,https://www.youtube.com/watch?v=BUCYjed-3Jo,0,5:32
132,bVY4S32xq80,https://www.youtube.com/watch?v=bVY4S32xq80,0,2:59
133,bxhMLyla78I,https://www.youtube.com/watch?v=bxhMLyla78I,0,1:54
134,BxVOOGeOuq0,https://www.youtube.com/watch?v=BxVOOGeOuq0,0,2:7:34
135,c_qoYTYCSG8,https://www.youtube.com/watch?v=c_qoYTYCSG8,0,9:55
136,C4gAaz_6Z9Y,https://www.youtube.com/watch?v=C4gAaz_6Z9Y,0,42:35
137,C7Nxc5rwK_o,https://www.youtube.com/watch?v=C7Nxc5rwK_o,0,2:42
138,c8OdMXVMHT8,https://www.youtube.com/watch?v=c8OdMXVMHT8,0,1:36
139,cABfEaP2IHo,https://www.youtube.com/watch?v=cABfEaP2IHo,0,7:54
140,cB3O2OTCUTM,https://www.youtube.com/watch?v=cB3O2OTCUTM,0,13:4
141,cBM-Opwnwo8,https://www.youtube.com/watch?v=cBM-Opwnwo8,0,2:23
142,chb6F9Q7CWU,https://www.youtube.com/watch?v=chb6F9Q7CWU,0,8:22
143,Cj2vBG5vXU0,https://www.youtube.com/watch?v=Cj2vBG5vXU0,0,7:6
144,Cm_V3cyOScQ,https://www.youtube.com/watch?v=Cm_V3cyOScQ,0,3:6
145,coX6aUiBunw,https://www.youtube.com/watch?v=coX6aUiBunw,0,2:49
146,CR5HtTsUl5E,https://www.youtube.com/watch?v=CR5HtTsUl5E,0,13:36
147,CSK7WsQS5S0,https://www.youtube.com/watch?v=CSK7WsQS5S0,0,10:16
148,CvbXYB21p4o,https://www.youtube.com/watch?v=CvbXYB21p4o,0,1:47
149,CYeL5_bG1ZE,https://www.youtube.com/watch?v=CYeL5_bG1ZE,0,2:13
150,DD-EikEPw4E,https://www.youtube.com/watch?v=DD-EikEPw4E,0,7:47
151,dDxk_qVS6H0,https://www.youtube.com/watch?v=dDxk_qVS6H0,0,5:55
152,dGULOR0qOjA,https://www.youtube.com/watch?v=dGULOR0qOjA,0,2:42
153,dI-Xx89-b4w,https://www.youtube.com/watch?v=dI-Xx89-b4w,0,4:3
154,di2kJcyy1BM,https://www.youtube.com/watch?v=di2kJcyy1BM,0,8:55
155,diFkCJ802vY,https://www.youtube.com/watch?v=diFkCJ802vY,0,5:12
156,dITsguJFQoc,https://www.youtube.com/watch?v=dITsguJFQoc,0,2:43
157,dKC3j3HFxoI,https://www.youtube.com/watch?v=dKC3j3HFxoI,0,14:38
158,DltKfvtXtEg,https://www.youtube.com/watch?v=DltKfvtXtEg,0,9:51
159,DnkLfQ-JpSY,https://www.youtube.com/watch?v=DnkLfQ-JpSY,0,3:52
160,DPrSSQcCjj0,https://www.youtube.com/watch?v=DPrSSQcCjj0,0,14:31
161,Ds5l8U_ZjlI,https://www.youtube.com/watch?v=Ds5l8U_ZjlI,0,4:40
162,DTwdhSiu3ck,https://www.youtube.com/watch?v=DTwdhSiu3ck,0,2:22
163,duoubmYpqBk,https://www.youtube.com/watch?v=duoubmYpqBk,0,4:50
164,dwcmN-Uax7k,https://www.youtube.com/watch?v=dwcmN-Uax7k,0,5:23
165,dXYeQ7hGMbg,https://www.youtube.com/watch?v=dXYeQ7hGMbg,0,9:28
166,E0MqXuryFG4,https://www.youtube.com/watch?v=E0MqXuryFG4,0,8:2
167,e3sXB5pClnw,https://www.youtube.com/watch?v=e3sXB5pClnw,0,20
168,E3Y2PKiWMRs,https://www.youtube.com/watch?v=E3Y2PKiWMRs,0,16:15
169,e4vGZo9REBA,https://www.youtube.com/watch?v=e4vGZo9REBA,0,2:8
170,E60iQmIq72E,https://www.youtube.com/watch?v=E60iQmIq72E,0,8:32
171,e8yOgLdBZFE,https://www.youtube.com/watch?v=e8yOgLdBZFE,0,3:17
172,EFzGb3DYHQo,https://www.youtube.com/watch?v=EFzGb3DYHQo,0,2:17
173,eiIPmWNjC38,https://www.youtube.com/watch?v=eiIPmWNjC38,0,1:8
174,etbMY2hrCLk,https://www.youtube.com/watch?v=etbMY2hrCLk,0,7:7
175,Etq2VsUjhho,https://www.youtube.com/watch?v=Etq2VsUjhho,0,38:30
176,f-WUSeZhHJI,https://www.youtube.com/watch?v=f-WUSeZhHJI,0,59
177,f1i_ukiLQYY,https://www.youtube.com/watch?v=f1i_ukiLQYY,0,1:41
178,F4-QgH_wHZw,https://www.youtube.com/watch?v=F4-QgH_wHZw,0,3:43
179,f76vHnUNDrY,https://www.youtube.com/watch?v=f76vHnUNDrY,0,1:38
180,fbe8zgbwOI0,https://www.youtube.com/watch?v=fbe8zgbwOI0,0,2:17
181,fbyOo_X4sBY,https://www.youtube.com/watch?v=fbyOo_X4sBY,0,1:15:50
182,FBYoZ-FgC84,https://www.youtube.com/watch?v=FBYoZ-FgC84,0,5:45
183,fDdYiDyeKDs,https://www.youtube.com/watch?v=fDdYiDyeKDs,0,11:6
184,fe_Ofjozmjs,https://www.youtube.com/watch?v=fe_Ofjozmjs,0,4:19
185,Fi9VV9FHOkY,https://www.youtube.com/watch?v=Fi9VV9FHOkY,0,1:39
186,FjAr-EOmJoc,https://www.youtube.com/watch?v=FjAr-EOmJoc,0,3:15
187,fmYMd92PqUk,https://www.youtube.com/watch?v=fmYMd92PqUk,0,9:12
188,fnyljp3X4jU,https://www.youtube.com/watch?v=fnyljp3X4jU,0,5:41
189,FoRUByMrf1g,https://www.youtube.com/watch?v=FoRUByMrf1g,0,1:20
190,FPGGWJw-sp4,https://www.youtube.com/watch?v=FPGGWJw-sp4,0,1:43
191,fTx9tOmU1sY,https://www.youtube.com/watch?v=fTx9tOmU1sY,0,13:12
192,fvbLWfgnngg,https://www.youtube.com/watch?v=fvbLWfgnngg,0,4:41
193,fZ3s222e-sU,https://www.youtube.com/watch?v=fZ3s222e-sU,0,3:55
194,fzmiwbHbAcQ,https://www.youtube.com/watch?v=fzmiwbHbAcQ,0,6:20
195,G_8RwctMshw,https://www.youtube.com/watch?v=G_8RwctMshw,0,2:43
196,G-VexV4s3J4,https://www.youtube.com/watch?v=G-VexV4s3J4,0,9:13
197,G0yaF7rw928,https://www.youtube.com/watch?v=G0yaF7rw928,0,8:24
198,G7QQVATrLkE,https://www.youtube.com/watch?v=G7QQVATrLkE,0,1:39
199,G8BdYALTyww,https://www.youtube.com/watch?v=G8BdYALTyww,0,59
200,g8iR2MWw5cw,https://www.youtube.com/watch?v=g8iR2MWw5cw,0,14:41
201,G8TvpARWTjY,https://www.youtube.com/watch?v=G8TvpARWTjY,0,3:21
202,gA6pdRXSlJw,https://www.youtube.com/watch?v=gA6pdRXSlJw,0,36
203,gFDJrF8wqgQ,https://www.youtube.com/watch?v=gFDJrF8wqgQ,0,20:47
204,gFXILIBTfG4,https://www.youtube.com/watch?v=gFXILIBTfG4,0,8:29
205,GHgVgEI9oMU,https://www.youtube.com/watch?v=GHgVgEI9oMU,0,4:32
206,gj-bxPfzjAI,https://www.youtube.com/watch?v=gj-bxPfzjAI,0,30
207,gJTlhZX4Hkc,https://www.youtube.com/watch?v=gJTlhZX4Hkc,0,3:49:50
208,gNPquC9iG_Q,https://www.youtube.com/watch?v=gNPquC9iG_Q,0,2:14:21
209,GNzIB0QXpNE,https://www.youtube.com/watch?v=GNzIB0QXpNE,0,17:22
210,GRRvMPSDveU,https://www.youtube.com/watch?v=GRRvMPSDveU,0,4:42
211,Gx2qBnlCVx4,https://www.youtube.com/watch?v=Gx2qBnlCVx4,0,1:55
212,h-tBErY7ZGE,https://www.youtube.com/watch?v=h-tBErY7ZGE,0,4:19
213,H0Hmv-HS8Do,https://www.youtube.com/watch?v=H0Hmv-HS8Do,0,2:51
214,h2geIAFU3MI,https://www.youtube.com/watch?v=h2geIAFU3MI,0,14:21
215,h2NL0eRaKIs,https://www.youtube.com/watch?v=h2NL0eRaKIs,0,9:31
216,h4cKDTL2dhw,https://www.youtube.com/watch?v=h4cKDTL2dhw,0,1:32
217,h4t56qewd_c,https://www.youtube.com/watch?v=h4t56qewd_c,0,37
218,HABbAHdfdXk,https://www.youtube.com/watch?v=HABbAHdfdXk,0,13:13
219,hBvZH-HmEK0,https://www.youtube.com/watch?v=hBvZH-HmEK0,0,34
220,HD6vGUzuJZ4,https://www.youtube.com/watch?v=HD6vGUzuJZ4,0,48:19
221,heSgyPxdFig,https://www.youtube.com/watch?v=heSgyPxdFig,0,2:23:8
222,HhhAFcLAfgU,https://www.youtube.com/watch?v=HhhAFcLAfgU,0,1:8
223,hI0Pm4Zu-k8,https://www.youtube.com/watch?v=hI0Pm4Zu-k8,0,3:8
224,HIkgY0Rz1jU,https://www.youtube.com/watch?v=HIkgY0Rz1jU,0,4:51
225,hIOjpi4L300,https://www.youtube.com/watch?v=hIOjpi4L300,0,1:39
226,HiQajZ0WqUQ,https://www.youtube.com/watch?v=HiQajZ0WqUQ,0,3:4
227,Hjz_h2xHGZM,https://www.youtube.com/watch?v=Hjz_h2xHGZM,0,6:27
228,HNVvQij4r4E,https://www.youtube.com/watch?v=HNVvQij4r4E,0,3:36:53
229,hnWKGMNLHio,https://www.youtube.com/watch?v=hnWKGMNLHio,0,7:55
230,Hoe3g_Sxwe0,https://www.youtube.com/watch?v=Hoe3g_Sxwe0,0,2:59
231,HryYsiKwK1c,https://www.youtube.com/watch?v=HryYsiKwK1c,0,1:19
232,HUkywe-RadU,https://www.youtube.com/watch?v=HUkywe-RadU,0,2:10
233,hupH1zvf-8k,https://www.youtube.com/watch?v=hupH1zvf-8k,0,6:39
234,HZOzruxA6bA,https://www.youtube.com/watch?v=HZOzruxA6bA,0,5:54
235,i_dY6DhNGx8,https://www.youtube.com/watch?v=i_dY6DhNGx8,0,39
236,i2NL_GBj9yw,https://www.youtube.com/watch?v=i2NL_GBj9yw,0,5:19
237,I4XU_lMEooY,https://www.youtube.com/watch?v=I4XU_lMEooY,0,2:22:6
238,IeIv0Kk7E9g,https://www.youtube.com/watch?v=IeIv0Kk7E9g,0,2:59
239,iEnP_xYobE8,https://www.youtube.com/watch?v=iEnP_xYobE8,0,2:11
240,if9G7Tt-sZE,https://www.youtube.com/watch?v=if9G7Tt-sZE,0,15:12
241,IgfrFswLLzo,https://www.youtube.com/watch?v=IgfrFswLLzo,0,37
242,IHJHVuQ5E5E,https://www.youtube.com/watch?v=IHJHVuQ5E5E,0,25:53
243,ijQd9mqMgCc,https://www.youtube.com/watch?v=ijQd9mqMgCc,0,5:17
244,ijvdGeDvz-4,https://www.youtube.com/watch?v=ijvdGeDvz-4,0,5:4
245,IMFccRM1Ay8,https://www.youtube.com/watch?v=IMFccRM1Ay8,0,2:27:31
246,ImX6YDZlOLw,https://www.youtube.com/watch?v=ImX6YDZlOLw,0,1:32
247,IQfhLeMJ32o,https://www.youtube.com/watch?v=IQfhLeMJ32o,0,3:28
248,iqFu1awvhws,https://www.youtube.com/watch?v=iqFu1awvhws,0,4:6
249,iuqUe9pdTc0,https://www.youtube.com/watch?v=iuqUe9pdTc0,0,2:59
250,iVXGZ99PsdQ,https://www.youtube.com/watch?v=iVXGZ99PsdQ,0,3:50
251,iw8_CDypwjE,https://www.youtube.com/watch?v=iw8_CDypwjE,0,34
252,J1X2uy2QDx4,https://www.youtube.com/watch?v=J1X2uy2QDx4,0,8:1
253,J69NF6aXY6s,https://www.youtube.com/watch?v=J69NF6aXY6s,0,3:15
254,jASgw-2k3BQ,https://www.youtube.com/watch?v=jASgw-2k3BQ,0,1:26
255,jCCzaz18imQ,https://www.youtube.com/watch?v=jCCzaz18imQ,0,15:32
256,jDeevLZhCLc,https://www.youtube.com/watch?v=jDeevLZhCLc,0,6:56
257,JIyzd_2KPZc,https://www.youtube.com/watch?v=JIyzd_2KPZc,0,1:12:52
258,jlQz1KckSNA,https://www.youtube.com/watch?v=jlQz1KckSNA,0,5:24
259,JM_xzNp0kfg,https://www.youtube.com/watch?v=JM_xzNp0kfg,0,3:1
260,JnhUmq0va4A,https://www.youtube.com/watch?v=JnhUmq0va4A,0,13:52
261,jpDPikbzdEQ,https://www.youtube.com/watch?v=jpDPikbzdEQ,0,1:34
262,jQIb5YOkG60,https://www.youtube.com/watch?v=jQIb5YOkG60,0,9:17
263,JQTctGQOhsg,https://www.youtube.com/watch?v=JQTctGQOhsg,0,9
264,JTYhqegZ0og,https://www.youtube.com/watch?v=JTYhqegZ0og,0,1:48
265,jUbxtx1umBY,https://www.youtube.com/watch?v=jUbxtx1umBY,0,29
266,jWQHuRWxRp4,https://www.youtube.com/watch?v=jWQHuRWxRp4,0,11:39
267,jzSX_uBstSA,https://www.youtube.com/watch?v=jzSX_uBstSA,0,5:16
268,K_HDrDrkLi0,https://www.youtube.com/watch?v=K_HDrDrkLi0,0,3:56
